施設種別,地区,保育園名,所在地,緯度,経度,種別,電話番号,入園可能月齢,保育年齢別定員　0歳,保育年齢別定員　1歳,保育年齢別定員　2歳,保育年齢別定員　3歳,保育年齢別定員　4歳,保育年齢別定員　5歳,保育年齢別定員　合計,短時間保育開始時間,短時間保育終了時間,標準時間開始時間,標準時間終了時間,延長保育対象月齢,延長保育,休園日,運営事業者(指定管理者),保育園ホームページ
,,清瀬市立う梅園第1第2第3学童クラブ,東京都清瀬市梅園2-9-38,35.771999,139.505174,,042-492-5606,小学校1年生〜6年生,,,,,,,100.0,,,,,,,,清瀬市,
,,清瀬市立清明小第1第2学童クラブ,東京都清瀬市旭が丘2-8-1　,35.796885,139.539993,,042-492-5602,小学校1年生〜6年生,,,,,,,70.0,,,,,,,,清瀬市,
,,清瀬市立四小学童クラブ,東京都清瀬市中里2-1471,35.783236,139.510435,,042-492-3955,小学校1年生〜6年生,,,,,,,60.0,,,,,,,,清瀬市,
,,清瀬市立八小第1第2学童クラブ,東京都清瀬市中清戸4-1070,35.787303,139.530847,,042-492-5535,小学校1年生〜6年生,,,,,,,70.0,,,,,,,,清瀬市,
,,清瀬市立竹丘第1第２学童クラブ,東京都清瀬市竹丘1-15-11,35.767616,139.511404,,042-492-6767,小学校1年生〜6年生,,,,,,,60.0,,,,,,,,清瀬市,
,,清瀬市立芝山小第1第2学童クラブ,東京都清瀬市元町2-16-8,35.775359,139.511204,,042-491-0878,小学校1年生〜6年生,,,,,,,75.0,,,,,,,,清瀬市,
,,清瀬市立清瀬小第1第2学童クラブ,東京都清瀬市中里5-741,35.785211,139.525606,,042-493-5408,小学校1年生〜6年生,,,,,,,90.0,,,,,,,,清瀬市,
,,清瀬市立三小第1第2学童クラブ,東京都清瀬市竹丘1-15-4,35.768568,139.509927,,042-492-5622,小学校1年生〜6年生,,,,,,,70.0,,,,,,,,清瀬市,
,,清瀬市立中清戸第1第2学童クラブ,東京都清瀬市中清戸1-556-1,35.775051,139.528458,,042-493-3940,小学校1年生〜6年生,,,,,,,40.0,,,,,,,,清瀬市,
,,清瀬市立十小学童クラブ,東京都中清戸1-454-14,35.775148,139.527536,,042-493-4350,,,,,,,,,,,,,,,,,
,,清瀬市立第１保育園,東京都清瀬市松山3-1-73,35.76854,139.513793,認定公立保育所,042-491-0152,0歳から,,,,,,,98.0,7:00,19:00,,,,,,清瀬市,
,,清瀬市立第３保育園,東京都清瀬市旭が丘3-755-1,35.798149,139.539049,認定公立保育所,042-492-5600,0歳から,,,,,,,98.0,7:00,19:00,,,,,,清瀬市,
,,清瀬市立第７保育園,東京都清瀬市竹丘1-15-11,35.76747739,139.5114895,認定公立保育所,042-492-4616,1歳から,,,,,,,67.0,7:00,19:00,,,,,,清瀬市,
,,清瀬市立乳児保育園,東京都清瀬市梅園2-9-38,35.7723,139.505231,認定公立保育所,042-492-5603,0歳から,,,,,,,34.0,7:00,19:00,,,,,,清瀬市,
,,駅前乳児保育園,東京都清瀬市元町1-4-17,35.774459,139.520659,認定公立保育所,042-492-4185,0歳から,,,,,,,31.0,7:00,19:00,,,,,,社会福祉法人千曲会,
,,清瀬上宮保育園,東京都清瀬市竹丘3-8-1,35.766485,139.502184,認定私立保育所,042-492-4015,0歳から,,,,,,,120.0,7:00,19:00,,,,,,社会福祉法人上宮会,
,,のしお保育園,東京都清瀬市野塩5-249,35.775625,139.498258,認定私立保育所,042-493-4550,0歳から,,,,,,,80.0,7:00,20:00,,,,,,社会福祉法人のゆり会,
,,中清戸保育園,東京都清瀬市下清戸1-21-3,35.7789537,139.5357242,認定私立保育所,042-494-1772,0歳から,,,,,,,80.0,7:00,19:00,,,,,,社会福祉法人千曲会,
,,すみれ保育園,東京都清瀬市中里3-1731-8,35.779377,139.516684,認定私立保育所,042-493-0509,0歳から,,,,,,,120.0,7:00,19:00,,,,,,社会福祉法人清朗会,
,,すみれ保育園分園,東京都清瀬市松山2-2-15,35.76980066,139.5161346,認定私立保育所,042-495-4145,0歳から,,,,,,,26.0,7:00,19:00,,,,,,社会福祉法人清朗会,
,,きよせ保育園,東京都清瀬市上清戸2-5-40,35.779072,139.520273,認定私立保育所,042-491-1301,0歳から,,,,,,,161.0,7:00,19:30,,,,,,社会福祉法人清澄,
,,きよせ保育園分園,東京都清瀬市上清戸2-6-6,35.78044708,139.5217755,認定私立保育所,042-497-3047,0歳から,,,,,,,23.0,7:00,19:30,,,,,,社会福祉法人清澄,
,,せせらぎ保育園,東京都清瀬市中里1-1704,35.78171,139.515078,認定私立保育所,042-497-9777,0歳から,,,,,,,120.0,7:00,19:00,,,,,,社会福祉法人清朗会,
,,"清瀬どろんこ
保育園",東京都清瀬市松山3-1-24,35.770975,139.510062,認定私立保育所,042-494-8166,0歳から,,,,,,,90.0,7:00,20:00,,,,,,社会福祉法人どろんこ会,
,,"のしお一丁目
保育園",東京都清瀬市野塩1-322-1,35.77911577,139.4999206,認定私立保育所,042-492-1411,0歳から,,,,,,,80.0,7:00,19:00,,,,,,社会福祉法人のゆり会,
,,"メリーポピンズ
清瀬ルーム",東京都清瀬市松山1-40-2,35.76883172,139.5171004,認定私立保育所,042-497-1692,0歳から,,,,,,,39.0,7:00,20:00,,,,,,社会福祉法人どろんこ会,
,,"中里どろんこ
保育園",東京都清瀬市中里6-25-1,35.770975,139.510062,認定私立保育所,042-497-8718,0歳から,,,,,,,100.0,7:00,20:00,,,,,,社会福祉法人どろんこ会,
,,"認定こども園
ひかり",東京都清瀬市旭が丘2-5-3,35.7956185,139.5400653,認定こども園（幼稚園型）,042-491-2218,3歳から,,,,,,,30.0,7:30,18:30,,,,,,学校法人聖光学園,
,,ピッコロルーム,東京都清瀬市元町2-18-10,35.77591503,139.5126367,認定私立保育所,042-497-1234,0歳から,,,,,,,11.0,7:30,19:30,,,,,,特定非営利法人子育てネットワーク・ピッコロ,
,,"ゆりかごファースト
スクール",東京都清瀬市元町1-8-35,35.7729873,139.5198868,認定私立保育所,042-496-0330,1歳から,,,,,,,18.0,8:00,17:00,,,,,,学校法人内野学園,
,,ちゃいるど保育園,東京都清瀬市上清戸2-5-36,35.7795198,139.5198005,認定私立保育所,042-496-7788,1歳から,,,,,,,18.0,8:00,17:00,,,,,,学校法人清瀬学園,
,,"あいあい
ちびっこルーム",東京都清瀬市竹丘3-2-61,35.769071,139.5037031,認定私立保育所,042-497-2308,0歳から,,,,,,,12.0,7:30,19:30,,,,,,NPO法人ウイズアイ,
,,なかよし保育園,東京都清瀬市竹丘3-1-1,35.76791273,139.5062184,認定私立保育所,042-491-3114,0歳から,,,,,,,9.0,7:30,19:00,,,,,,社会福祉法人上宮会,
