"施設種別","地区","保育園名","所在地","緯度","経度","種別","電話番号","入園可能月齢","保育年齢別定員　0歳","保育年齢別定員　1歳","保育年齢別定員　2歳","保育年齢別定員　3歳","保育年齢別定員　4歳","保育年齢別定員　5歳","保育年齢別定員　合計","短時間保育開始時間","短時間保育終了時間","標準時間開始時間","標準時間終了時間","延長保育対象月齢","延長保育","休園日","運営事業者(指定管理者)","保育園ホームページ"
"認可保育園","芝","芝保育園","東京都港区芝五丁目18番1号101","35.6484","139.747716","区立","03-3455-4669","3か月","18","26","30","30","30","30","164","9:00","17:00","7:15","18:15","1歳の誕生日","22:00まで","日・祝・年末年始",,"https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/12/index.html"
"認可保育園","芝","神明保育園","東京都港区浜松町一丁目6番7号　プラザ神明1～3階","35.658802","139.757421","区立","03-5733-6822","3か月","21","25","29","30","30","30","165","9:00","17:00","7:15","18:15","1歳の誕生日","6:15から22:00まで","年末年始","(株)日本保育サービス","https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/21/index.html"
"認可保育園","芝","芝公園保育園","東京都港区芝公園二丁目7番3号","35.654291","139.750533","区立","03-3438-0435","57日","14","22","24","30","30","30","150","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始",,"https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/13/index.html"
"認可保育園","芝","アスク芝公園保育園","東京都港区芝二丁目12番16号","35.651603","139.752593","私立","03-5439-9398","57日","6","10","11","11","11","11","60","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始","(株)日本保育サービス","https://www.nihonhoiku.co.jp/blog/shibakoen/"
"認可保育園","芝","太陽の子三田保育園","東京都港区三田一丁目2番18号　TTD PLAZAビル2階","35.655004","139.740635","私立","03-5439-6390","57日","9","12","12","12","12","12","69","9:00","17:00","7:15","18:15","57日","20:15まで","日・祝・年末年始","HITOWAキッズライフ(株)","https://www.kidslife-nursery.com/facility/tokyo/minato/mita1/"
"認可保育園","芝","あい保育園赤羽橋","東京都港区三田一丁目3番31号　Forecast三田 2階","35.654526","139.74357","私立","03-6453-9325","57日","6","12","12","10","10","10","60","9:00","17:00","7:15","18:15","57日","20:15まで","日・祝・年末年始","(株)アイグラン","https://aigran.co.jp/nursery_list/1-1153/"
"認可保育園","芝","こころ新橋保育園","東京都港区新橋六丁目4番3号　ル・グラシエルビル7号館2階","35.663617","139.753196","私立","03-6432-0941","57日","5","5","11","11","11","11","54","9:00","17:00","7:15","18:15","57日","20:15まで","日・祝・年末年始","(学)太陽学院","https://www.taiyo.ed.jp/kokoro-shinbashi/"
"認可保育園","芝","グローバルキッズ虎ノ門保育園","東京都港区虎ノ門三丁目19番13号　虎ノ門スピリットビル3階","35.663091","139.74683","私立","03-5473-7668","57日","6","10","10","10","10","10","56","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始","(株)グローバルキッズ","https://www.gkids.co.jp/facilities/nursery_061.html"
"認可保育園","芝","小鳩ナーサリースクール浜離宮","東京都港区浜松町一丁目3番1号","35.659878","139.756993","私立","03-6432-0123","3か月","6","7","7","7","7","7","41","9:00","17:00","7:15","18:15","3か月","20:15まで","日・祝・年末年始","(株)チャイルド・ピース","https://www.kobato.net/hamarikyu/"
"認可保育園","芝","ニチイキッズ芝公園保育園","東京都港区芝二丁目1番27号　穴水ビル2階","35.653349","139.751196","私立","03-5765-5075","57日","6","7","8","8","8","8","45","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始","(株)ニチイ学館","https://www.nichiikids.net/nursery/other/shibakouen/index.html"
"認可保育園","芝","にじいろ保育園竹芝","東京都港区海岸一丁目13番15号","35.654298","139.761854","私立","03-6381-5195","57日","3","5","6","6","6","6","32","9:00","17:00","7:15","18:15","57日","20:15まで","日・祝・年末年始","ライクアカデミー(株)","https://www.like-kn.co.jp/academy/establishment/nijiiro/takeshiba/index.html"
"認可保育園","芝","にじいろ保育園新橋","東京都港区新橋六丁目11番13号","35.661615","139.754608","私立","03-6432-0540","57日","3","10","11",,,,"24","9:00","17:00","7:15","18:15","57日","20:15まで","日・祝・年末年始","ライクアカデミー(株)","https://www.like-kn.co.jp/academy/establishment/nijiiro/shinbashi/index.html"
"認可保育園","芝","（仮称）すくすく保育園浜松町","東京都港区浜松町一丁目1番（住居表示未定）",,,"私立","未定","未定","6","14","15","15","15","15","80","9:00","17:00","7:15","18:15","未定","20:15まで","日・祝・年末年始","(福)寿広福祉会",
"認可保育園","麻布","南麻布保育園","東京都港区南麻布四丁目2番29号101","35.647872","139.72407","区立","03-3442-8068","3か月","12","18","18","18","18","18","102","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始",,"https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/10/index.html"
"認可保育園","麻布","本村保育園","東京都港区南麻布四丁目6番7号","35.651113","139.727587","区立","03-3444-2385","3か月","12","19","20","20","20","20","111","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始",,"https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/05/index.html"
"認可保育園","麻布","西麻布保育園","東京都港区西麻布二丁目13番3号","35.660833","139.722718","区立","03-3409-4924","3か月","13","20","24","24","24","24","129","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始",,"https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/11/index.html"
"認可保育園","麻布","麻布保育園","東京都港区六本木五丁目16番46号","35.660657","139.735091","区立","03-5545-7135","3か月","15","20","25","27","30","30","147","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始",,"https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/03/index.html"
"認可保育園","麻布","飯倉保育園","東京都港区東麻布一丁目21番2号","35.655912","139.743532","区立","03-3583-1786","3か月","12","18","21","26","28","28","133","9:00","17:00","7:15","18:15","1歳の誕生日","20:15まで","日・祝・年末年始",,"https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/06/index.html"
